Username;Email;Password;FirstName;LastName;PhoneNumber;City;Address
U000000001;harry5@mail.com;Harry5;Harry;Rider;881-6585;Halloween Town;Elm St. 466
U000000002;fiona9@mail.com;Fiona9;Fiona;Sheriff;854-6470;San Fransokyo;Magnolia Way 49
U000000003;tigress5@mail.com;Tigress5;Tigress;Incredible;772-2505;San Fransokyo;Sunset Blvd. 515
U000000004;clark8@mail.com;Clark8;Clark;Dash;157-5650;Halloween Town;Main St. 56
U000000005;ernesto9@mail.com;Ernesto9;Ernesto;Arendelle;791-8025;Sherwood;Main St. 662
U000000006;bart2@mail.com;Bart2;Bart;Hawthorne;604-1518;Berk;Broadway 584
U000000007;lois6@mail.com;Lois6;Lois;Sven;705-5552;Zootopia;Pine St. 258
U000000008;barney2@mail.com;Barney2;Barney;Rider;705-4245;Pandora;1st Ave. 92
U000000009;olaf8@mail.com;Olaf8;Olaf;Sven;426-6746;Gotham;1st Ave. 554
U000000010;maui5@mail.com;Maui5;Maui;Simpson;214-7855;Radiator Springs;4rd Ave. 642
U000000011;dante6@mail.com;Dante6;Dante;Incredible;652-8520;Pandora;Broadway 856
U000000012;miguel4@mail.com;Miguel4;Miguel;Simpson;852-4228;Arendelle;Washington Blvd. 651
U000000013;bart0@mail.com;Bart0;Bart;Sandman;425-2817;Radiator Springs;Elm St. 120
U000000014;homer6@mail.com;Homer6;Homer;Simpson;170-5842;Sunnydale;Oak St. 559
U000000015;kristo9@mail.com;Kristo9;Kristo;Szyslak;912-7275;Hill Valley;Park Place 865
U000000016;olaf1@mail.com;Olaf1;Olaf;Wayne;479-4855;Springfield;Park Place 468
U000000017;donkey1@mail.com;Donkey1;Donkey;Rider;505-1209;Pandora;Main St. 695
U000000018;fiona2@mail.com;Fiona2;Fiona;Flanders;655-1057;Sherwood;4rd Ave. 890
U000000019;toothles5@mail.com;Toothles5;Toothless;Dash;145-1517;Halloween Town;Cedar Ln. 995
U000000020;viper5@mail.com;Viper5;Viper;Flanders;594-2756;Berk;Magnolia Way 859
U000000021;natasha1@mail.com;Natasha1;Natasha;Gumble;452-4258;Metropolis;2nd Ave. 900
